time,ref,meas,u,target_h,error
40.3,,0.318608641624451,0.318608641624451,0.36000073,0.04000008
40.4,,0.35299825668335,0.35299825668335,0.36000073,0.04000008
40.5,,0.202147960662842,0.202147960662842,1.15,0.05000007
40.6,,0.289101332426071,0.289101332426071,1.15,0.05000007
40.7,,0.160512089729309,0.160512089729309,-0.3399986,0.04000008
40.8,,0.266257524490356,0.266257524490356,-0.3399986,0.04000008
40.9,,-0.296554654836655,-0.296554654836655,0.36000073,0.04000008
41,,0.015484794974327,0.015484794974327,0.36000073,0.04000008
41.1,,0.461502283811569,0.461502283811569,1.15,0.05000007
41.2,,0.431397795677185,0.431397795677185,0.36000073,0.04000008
