# Time (s), Input signal, Derivative, Derivative positive, Derivative negative
1.130000000000000115e+00,5.701068640382518815e+00,5.887966440444536431e-01,5.887966440444536431e-01,0.000000000000000000e+00
1.140000000000000124e+00,5.706949687558514839e+00,5.881047175996023668e-01,5.881047175996023668e-01,0.000000000000000000e+00
1.150000000000000133e+00,5.712823757426502169e+00,5.874069867987330440e-01,5.874069867987330440e-01,0.000000000000000000e+00
1.159999999999999920e+00,5.718690792011781987e+00,5.867034585279817804e-01,5.867034585279817804e-01,0.000000000000000000e+00
1.169999999999999929e+00,5.724550733409091485e+00,5.859941397309498257e-01,5.859941397309498257e-01,0.000000000000000000e+00
1.179999999999999938e+00,5.730403523783175856e+00,5.852790374084371194e-01,5.852790374084371194e-01,0.000000000000000000e+00
1.189999999999999947e+00,5.736249105369356727e+00,5.845581586180870204e-01,5.845581586180870204e-01,0.000000000000000000e+00
1.199999999999999956e+00,5.742087420474102366e+00,5.838315104745639417e-01,5.838315104745639417e-01,0.000000000000000000e+00
1.209999999999999964e+00,5.747918411475601452e+00,5.830991001499086224e-01,5.830991001499086224e-01,0.000000000000000000e+00
1.219999999999999973e+00,5.753742020824326175e+00,5.823609348724723134e-01,5.823609348724723134e-01,0.000000000000000000e+00
1.229999999999999982e+00,5.759558191043602449e+00,5.816170219276273201e-01,5.816170219276273201e-01,0.000000000000000000e+00
1.239999999999999991e+00,5.765366864730180119e+00,5.808673686577670026e-01,5.808673686577670026e-01,0.000000000000000000e+00
1.250000000000000000e+00,5.771167984554793406e+00,5.801119824613287790e-01,5.801119824613287790e-01,0.000000000000000000e+00
1.260000000000000009e+00,5.776961493262732894e+00,5.793508707939487579e-01,5.793508707939487579e-01,0.000000000000000000e+00
1.270000000000000018e+00,5.782747333674405077e+00,5.785840411672182881e-01,5.785840411672182881e-01,0.000000000000000000e+00
1.280000000000000027e+00,5.788525448685902575e+00,5.778115011497497733e-01,5.778115011497497733e-01,0.000000000000000000e+00
1.290000000000000036e+00,5.794295781269561907e+00,5.770332583659332215e-01,5.770332583659332215e-01,0.000000000000000000e+00
1.300000000000000044e+00,5.800058274474530151e+00,5.762493204968244243e-01,5.762493204968244243e-01,0.000000000000000000e+00
1.310000000000000053e+00,5.805812871427326272e+00,5.754596952796120490e-01,5.754596952796120490e-01,0.000000000000000000e+00
1.320000000000000062e+00,5.811559515332400672e+00,5.746643905074400038e-01,5.746643905074400038e-01,0.000000000000000000e+00
1.330000000000000071e+00,5.817298149472698299e+00,5.738634140297627084e-01,5.738634140297627084e-01,0.000000000000000000e+00
1.340000000000000080e+00,5.823028717210218197e+00,5.730567737519898230e-01,5.730567737519898230e-01,0.000000000000000000e+00
1.350000000000000089e+00,5.828751161986568619e+00,5.722444776350421591e-01,5.722444776350421591e-01,0.000000000000000000e+00
1.360000000000000098e+00,5.834465427323531017e+00,5.714265336962398578e-01,5.714265336962398578e-01,0.000000000000000000e+00
1.370000000000000107e+00,5.840171456823613383e+00,5.706029500082365757e-01,5.706029500082365757e-01,0.000000000000000000e+00
1.380000000000000115e+00,5.845869194170607130e+00,5.697737346993747565e-01,5.697737346993747565e-01,0.000000000000000000e+00
1.390000000000000124e+00,5.851558583130145763e+00,5.689388959538632662e-01,5.689388959538632662e-01,0.000000000000000000e+00
1.400000000000000133e+00,5.857239567550257320e+00,5.680984420111556688e-01,5.680984420111556688e-01,0.000000000000000000e+00
1.409999999999999920e+00,5.862912091361918598e+00,5.672523811661278614e-01,5.672523811661278614e-01,0.000000000000000000e+00
1.419999999999999929e+00,5.868576098579609379e+00,5.664007217690780749e-01,5.664007217690780749e-01,0.000000000000000000e+00
1.429999999999999938e+00,5.874231533301866648e+00,5.655434722257268731e-01,5.655434722257268731e-01,0.000000000000000000e+00
1.439999999999999947e+00,5.879878339711830826e+00,5.646806409964177931e-01,5.646806409964177931e-01,0.000000000000000000e+00
1.449999999999999956e+00,5.885516462077803546e+00,5.638122365972719763e-01,5.638122365972719763e-01,0.000000000000000000e+00
1.459999999999999964e+00,5.891145844753792993e+00,5.629382675989447193e-01,5.629382675989447193e-01,0.000000000000000000e+00
1.469999999999999973e+00,5.896766432180065465e+00,5.620587426272471987e-01,5.620587426272471987e-01,0.000000000000000000e+00
1.479999999999999982e+00,5.902378168883690712e+00,5.611736703625247458e-01,5.611736703625247458e-01,0.000000000000000000e+00
1.489999999999999991e+00,5.907980999479094386e+00,5.602830595403673897e-01,5.602830595403673897e-01,0.000000000000000000e+00
1.500000000000000000e+00,5.913574868668599827e+00,5.593869189505440431e-01,5.593869189505440431e-01,0.000000000000000000e+00
1.510000000000000009e+00,5.919159721242976069e+00,5.584852574376242274e-01,5.584852574376242274e-01,0.000000000000000000e+00
1.520000000000000018e+00,5.924735502081984073e+00,5.575780839008004364e-01,5.575780839008004364e-01,0.000000000000000000e+00
1.530000000000000027e+00,5.930302156154917625e+00,5.566654072933552300e-01,5.566654072933552300e-01,0.000000000000000000e+00
1.540000000000000036e+00,5.935859628521146902e+00,5.557472366229276872e-01,5.557472366229276872e-01,0.000000000000000000e+00
1.550000000000000044e+00,5.941407864330665589e+00,5.548235809518686779e-01,5.548235809518686779e-01,0.000000000000000000e+00
1.560000000000000053e+00,5.946946808824624675e+00,5.538944493959085946e-01,5.538944493959085946e-01,0.000000000000000000e+00
1.570000000000000062e+00,5.952476407335878683e+00,5.529598511254008031e-01,5.529598511254008031e-01,0.000000000000000000e+00
1.580000000000000071e+00,5.957996605289523018e+00,5.520197953644334632e-01,5.520197953644334632e-01,0.000000000000000000e+00
1.590000000000000080e+00,5.963507348203431313e+00,5.510742913908295293e-01,5.510742913908295293e-01,0.000000000000000000e+00
1.600000000000000089e+00,5.969008581688796333e+00,5.501233485365020215e-01,5.501233485365020215e-01,0.000000000000000000e+00
1.610000000000000098e+00,5.974500251450665544e+00,5.491669761869211186e-01,5.491669761869211186e-01,0.000000000000000000e+00
1.620000000000000107e+00,5.979982303288474021e+00,5.482051837808477046e-01,5.482051837808477046e-01,0.000000000000000000e+00
1.630000000000000115e+00,5.985454683096583572e+00,5.472379808109550936e-01,5.472379808109550936e-01,0.000000000000000000e+00
1.640000000000000124e+00,5.990917336864815645e+00,5.462653768232073048e-01,5.462653768232073048e-01,0.000000000000000000e+00
1.650000000000000133e+00,5.996370210678982460e+00,5.452873814166814270e-01,5.452873814166814270e-01,0.000000000000000000e+00
1.660000000000000142e+00,6.001813250721420800e+00,5.443040042438340720e-01,5.443040042438340720e-01,0.000000000000000000e+00
1.669999999999999929e+00,6.007246403271522261e+00,5.433152550101461031e-01,5.433152550101461031e-01,0.000000000000000000e+00
1.679999999999999938e+00,6.012669614706265264e+00,5.423211434743002712e-01,5.423211434743002712e-01,0.000000000000000000e+00
1.689999999999999947e+00,6.018082831500743524e+00,5.413216794478259430e-01,5.413216794478259430e-01,0.000000000000000000e+00
1.699999999999999956e+00,6.023486000228690074e+00,5.403168727946550121e-01,5.403168727946550121e-01,0.000000000000000000e+00
1.709999999999999964e+00,6.028879067563013727e+00,5.393067334323653483e-01,5.393067334323653483e-01,0.000000000000000000e+00
1.719999999999999973e+00,6.034261980276315107e+00,5.382912713301379881e-01,5.382912713301379881e-01,0.000000000000000000e+00
1.729999999999999982e+00,6.039634685241419554e+00,5.372704965104446728e-01,5.372704965104446728e-01,0.000000000000000000e+00
1.739999999999999991e+00,6.044997129431898486e+00,5.362444190478932171e-01,5.362444190478932171e-01,0.000000000000000000e+00
1.750000000000000000e+00,6.050349259922592537e+00,5.352130490694051446e-01,5.352130490694051446e-01,0.000000000000000000e+00
1.760000000000000009e+00,6.055691023890133806e+00,5.341763967541268698e-01,5.341763967541268698e-01,0.000000000000000000e+00
1.770000000000000018e+00,6.061022368613468991e+00,5.331344723335185165e-01,5.331344723335185165e-01,0.000000000000000000e+00
1.780000000000000027e+00,6.066343241474378090e+00,5.320872860909098279e-01,5.320872860909098279e-01,0.000000000000000000e+00
1.790000000000000036e+00,6.071653589957993979e+00,5.310348483615889847e-01,5.310348483615889847e-01,0.000000000000000000e+00
1.800000000000000044e+00,6.076953361653321117e+00,5.299771695327137877e-01,5.299771695327137877e-01,0.000000000000000000e+00
1.810000000000000053e+00,6.082242504253752458e+00,5.289142600431340213e-01,5.289142600431340213e-01,0.000000000000000000e+00
1.820000000000000062e+00,6.087520965557585484e+00,5.278461303833026363e-01,5.278461303833026363e-01,0.000000000000000000e+00
1.830000000000000071e+00,6.092788693468539130e+00,5.267727910953645676e-01,5.267727910953645676e-01,0.000000000000000000e+00
1.840000000000000080e+00,6.098045635996264480e+00,5.256942527725350089e-01,5.256942527725350089e-01,0.000000000000000000e+00
1.850000000000000089e+00,6.103291741256860803e+00,5.246105260596323205e-01,5.246105260596323205e-01,0.000000000000000000e+00
1.860000000000000098e+00,6.108526957473388919e+00,5.235216216528115751e-01,5.235216216528115751e-01,0.000000000000000000e+00
1.870000000000000107e+00,6.113751232976376571e+00,5.224275502987651976e-01,5.224275502987651976e-01,0.000000000000000000e+00
1.880000000000000115e+00,6.118964516204334458e+00,5.213283227957887789e-01,5.213283227957887789e-01,0.000000000000000000e+00
1.890000000000000124e+00,6.124166755704262499e+00,5.202239499928040800e-01,5.202239499928040800e-01,0.000000000000000000e+00
1.900000000000000133e+00,6.129357900132154313e+00,5.191144427891813962e-01,5.191144427891813962e-01,0.000000000000000000e+00
1.910000000000000142e+00,6.134537898253514143e+00,5.179998121359830066e-01,5.179998121359830066e-01,0.000000000000000000e+00
1.919999999999999929e+00,6.139706698943848018e+00,5.168800690333874570e-01,5.168800690333874570e-01,0.000000000000000000e+00
1.929999999999999938e+00,6.144864251189182447e+00,5.157552245334429131e-01,5.157552245334429131e-01,0.000000000000000000e+00
1.939999999999999947e+00,6.150010504086557361e+00,5.146252897374914426e-01,5.146252897374914426e-01,0.000000000000000000e+00
1.949999999999999956e+00,6.155145406844535927e+00,5.134902757978565546e-01,5.134902757978565546e-01,0.000000000000000000e+00
1.959999999999999964e+00,6.160268908783699260e+00,5.123501939163332963e-01,5.123501939163332963e-01,0.000000000000000000e+00
1.969999999999999973e+00,6.165380959337152689e+00,5.112050553453428847e-01,5.112050553453428847e-01,0.000000000000000000e+00
