# meas,ref,error,kp,ki,kd,kpd, u
4.511638450703167047e-01,4.550418302731133458e-01,3.877985202796641051e-03,3.877985202796641051e-02,2.007679723917668024e-01,-1.199752341363158337e-03,3.758009968660325217e-02,2.383480720783700546e-01
4.511936093617963661e-01,4.550418302731133458e-01,3.848220911316979631e-03,3.848220911316979631e-02,2.010565889601156064e-01,-1.190571659186456799e-03,3.729163745398333951e-02,2.383482264140989459e-01
4.512231456795788853e-01,4.550418302731133458e-01,3.818684593534460436e-03,3.818684593534460436e-02,2.013429903046307090e-01,-1.181452711300767788e-03,3.700539322404383658e-02,2.383483835286745456e-01
4.512524555948100313e-01,4.550418302731133458e-01,3.789374678303314425e-03,3.789374678303314425e-02,2.016271934055034465e-01,-1.172396609245840438e-03,3.672135017378730382e-02,2.383485435792907503e-01
4.512815407079959207e-01,4.550418302731133458e-01,3.760289565117425070e-03,3.760289565117425070e-02,2.019092151228872589e-01,-1.163404527435574209e-03,3.643949112373867649e-02,2.383487062466259354e-01
4.513104026458099605e-01,4.550418302731133458e-01,3.731427627303385286e-03,3.731427627303385286e-02,2.021890721949349823e-01,-1.154477512561591368e-03,3.615979876047226149e-02,2.383488709554072438e-01
4.513390430553399502e-01,4.550418302731133458e-01,3.702787217773395589e-03,3.702787217773395589e-02,2.024667812362680175e-01,-1.145616381199587863e-03,3.588225579653436803e-02,2.383490370328023855e-01
4.513674635973597971e-01,4.550418302731133458e-01,3.674366675753548694e-03,3.674366675753548694e-02,2.027423587369495128e-01,-1.136821680793875800e-03,3.560684507674161114e-02,2.383492038136911240e-01
4.513956659396784477e-01,4.550418302731133458e-01,3.646164333434898097e-03,3.646164333434898097e-02,2.030158210619571468e-01,-1.128093692746023891e-03,3.533354964160295708e-02,2.383493707035601039e-01
4.514236517511945879e-01,4.550418302731133458e-01,3.618178521918757884e-03,3.618178521918757884e-02,2.032871844511010551e-01,-1.119432460645608529e-03,3.506235275854197031e-02,2.383495372096430254e-01
4.514514226969690291e-01,4.550418302731133458e-01,3.590407576144316604e-03,3.590407576144316604e-02,2.035564650193118774e-01,-1.110837830977651208e-03,3.479323793046551483e-02,2.383497029497773922e-01
4.514789804344030988e-01,4.550418302731133458e-01,3.562849838710246964e-03,3.562849838710246964e-02,2.038236787572151321e-01,-1.102309497362785606e-03,3.452618888973968403e-02,2.383498676469548161e-01
